name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,150.79,268.93875,109.34745000000001,128.713783406,144.66379453,101.273042014
PointsSort2,145.51999999999998,263.15418,102.00608,126.12091066600001,147.49427114000002,99.72520404900001
PointsSort3,135.4,254.70103,114.43427000000001,121.077674223,142.89884739000001,100.017422044
CeilingSort1,149.26,265.68812,104.67693,128.390096096,145.31290452999997,100.73595039
CeilingSort2,145.36,263.38061999999996,102.37564,124.16064484600001,145.95413408000002,98.205125859
CeilingSort3,134.02,256.15315,116.80113,119.868750353,141.45142951,99.226624714
FloorSort1,145.46,260.95541,112.61261999999999,125.81049656600001,143.88265984,98.07907558
FloorSort2,141.61,262.01944,113.92437000000001,122.53299930600001,137.50414736,97.44945506600001
FloorSort3,134.77000000000004,255.43246,114.85969000000001,119.459065906,136.71540767,100.73945506599999
FFA_PointsSort1,142.64000000000001,250.32439,96.62787,142.7517236,157.24286922,118.00373337
FFA_PointsSort2,136.18,241.73462999999998,92.53627,138.18041787,154.33031856,112.22201276
FFA_PointsSort3,129.72,240.91608999999997,102.18935,133.49472351,150.81818909,112.83523756
FFA_CeilingSort1,143.92000000000002,246.93528999999998,98.17809,143.51939566,160.52085958,113.11013746200001
FFA_CeilingSort2,135.76,243.13088999999997,93.23012,138.38754719,157.1690347,110.03201276
FFA_CeilingSort3,133.66000000000003,250.44515999999996,104.58167,133.74215987,154.3970682,110.05972105000001
FFA_FloorSort1,141.0,246.34664999999998,92.04426,140.39214234,155.78227101,114.983459296
FFA_FloorSort2,137.01,243.0965,89.29605,137.55922611,153.53537972,110.07496794000001
FFA_FloorSort3,130.82000000000002,246.47821999999996,110.25197,133.032919395,152.39516202000001,111.25999946
