name,roto_points,roto_ceiling,roto_floor,ffa_points,ffa_ceiling,ffa_floor
PointsSort1,146.85999999999999,253.20452999999998,97.59584000000001,139.18140997999998,153.65664456,110.336612455
PointsSort2,138.88,248.30320999999998,95.24282000000001,130.59346088,149.05247092000002,101.55544721900002
PointsSort3,134.49,248.19764999999995,104.16262,126.82893852999997,143.39102757999999,103.33852104800002
CeilingSort1,146.22,255.59313000000003,96.58063,131.881467147,150.76103992,105.02151267500001
CeilingSort2,137.87,247.35213,94.45776,125.02450758699999,145.29753732,98.219777709
CeilingSort3,134.17000000000002,252.97326999999999,105.70978,128.38400209699998,149.77226306,109.38490095
FloorSort1,140.07,250.74745999999996,103.19482,132.59488450199999,150.635532626,104.85210207400002
FloorSort2,135.49999999999997,250.73008,106.31284000000001,128.549424872,149.047865846,100.04580237800002
FloorSort3,131.28,250.7402,108.29664000000001,127.27828267199999,145.87087236600001,105.034294416
FFA_PointsSort1,146.16000000000003,248.89604999999995,99.72973,139.601611759,156.75656541,110.55466423099999
FFA_PointsSort2,131.53,237.5314,92.26143,133.16201498,150.58183728,107.30201276000001
FFA_PointsSort3,130.53,244.36638999999997,105.02949,133.23316447,151.44950143000003,112.23507765
FFA_CeilingSort1,142.8,253.04176999999999,99.84212000000001,141.57727587,159.58632063,111.53368855199999
FFA_CeilingSort2,131.41,239.43229999999997,92.74496,133.07851813,153.04315015999998,105.80996794
FFA_CeilingSort3,132.21,249.44759999999997,107.51962,135.55672274,156.42077571,108.618899622
FFA_FloorSort1,144.30000000000004,243.73603999999997,93.45517,135.484954523,147.62867977000002,110.947516571
FFA_FloorSort2,137.01,243.09650000000002,89.29605,137.55922611,153.53537972,110.07496794000001
FFA_FloorSort3,131.25,248.03499,105.35651000000003,134.37197503,151.73051479,113.51876489
