Travis Kelce,6000,KCC,TE,JAC,28.93685,11.3306,15.65,19.90005009,13.0,16.562658499999998
Jimmy Graham,4700,GBP,TE,DET,25.26736,10.44064,12.64,15.75020596,7.77,12.53134965
David Njoku,3400,CLE,TE,BAL,18.07096,9.04,9.04,12.59957866,6.292999999999999,8.979816649
Vance McDonald,3700,PIT,TE,ATL,17.5912,8.8,8.8,11.57170094,8.311207472000001,10.15581509
Austin Hooper,3000,ATL,TE,PIT,16.21189,8.11,8.11,8.672705,6.000663574,7.53214328
Charles Clay,2700,BUF,TE,TEN,15.772110000000001,7.89,7.89,7.185053102,5.0,6.163686397
Rhett Ellison,2700,NYG,TE,CAR,14.932529999999998,7.47,7.47,7.3620183489999995,4.004632374,6.487032786
Austin Seferian-Jenkins,2900,JAC,TE,KCC,14.5927,6.0371,7.3,7.876649648,5.81,6.822769367
Jesse James,3100,PIT,TE,ATL,14.372810000000001,7.19,7.19,5.488503428,1.993853782,3.9511658880000002
Jeff Heuerman,2600,DEN,TE,NYJ,12.313839999999999,6.16,6.16,6.974954127999999,2.7,5.735630211
Nick Boyle,2500,BAL,TE,CLE,12.11394,6.06,6.06,4.594930091,0.94,3.679059165
Hayden Hurst,2800,BAL,TE,CLE,12.01399,6.01,6.01,7.2075630429999995,1.749,4.927233057
Tyler Kroft,2900,CIN,TE,MIA,11.77411,5.89,5.89,7.986339011,3.43,6.132440151
Maxx Williams,2500,BAL,TE,CLE,11.57421,5.79,5.79,3.9621214310000004,2.529002801,3.386214033
Ian Thomas,2800,CAR,TE,NYG,10.854569999999999,5.43,5.43,6.3605599999999995,5.388999999999999,6.0192864429999995
Luke Stocker,2500,TEN,TE,BUF,10.69465,5.35,5.35,4.500994186000001,1.9369999999999998,3.41412628
Jordan Leggett,2500,NYJ,TE,DEN,10.63468,5.32,5.32,3.03872093,0.76,2.127500897
Jonnu Smith,2700,TEN,TE,BUF,10.114939999999999,5.06,5.06,6.176880734,3.033361345,4.308953354
C.J. Uzomah,2900,CIN,TE,MIA,9.69515,4.85,4.85,6.941297872000001,3.77,5.329185275
Mark Andrews,2600,BAL,TE,CLE,9.21539,4.61,4.61,4.210275,3.3,3.729242623
Mike Gesicki,2500,MIA,TE,CIN,8.95552,4.48,4.48,5.640243161,3.83,4.6758330710000005
Jason Croom,2500,BUF,TE,TEN,8.49575,4.25,4.25,4.20872093,2.1,3.2949007139999997
Darren Fells,2500,CLE,TE,BAL,8.49575,4.25,4.25,3.8069590210000004,2.1519999999999997,3.0452949780000003
Luke Willson,2600,DET,TE,GBP,8.41579,4.21,4.21,4.642173208,1.982803539,3.7799134160000003
Chris Herndon,2500,NYJ,TE,DEN,8.21589,4.11,4.11,3.949119758,2.003050642,3.23067108
James OShaughnessy,2500,JAC,TE,KCC,8.1959,4.1,4.1,2.8122,0.45,2.001264749
Demetrius Harris,2500,KCC,TE,JAC,7.51624,3.76,3.76,4.091617021,2.000320819,3.2168928360000004
Niles Paul,2500,JAC,TE,KCC,5.15742,2.58,2.58,2.5888869569999997,0.43,1.6638498290000001
Lance Kendricks,2500,GBP,TE,DET,5.09745,2.55,2.55,3.664389535,1.08,2.52289769
Logan Paulsen,2500,ATL,TE,PIT,4.7976,2.4,2.4,2.004645,0.18,1.262964408
Marcedes Lewis,2500,GBP,TE,DET,4.217890000000001,2.11,2.11,1.4835504590000002,0.0,0.774421258
Levine Toilolo,2500,DET,TE,GBP,4.11794,2.06,2.06,2.414017391,0.23,1.384706485
Khari Lee,2500,BUF,TE,TEN,3.51824,1.76,1.76,1.56804893,0.0,0.81370746
Orson Charles,2500,CLE,TE,BAL,2.65867,1.33,1.33,0.530534783,0.0,0.215753775
Durham Smythe,2500,MIA,TE,CIN,2.47876,1.24,1.24,1.435782979,0.0,0.6740520529999999
Matt LaCosse,2500,DEN,TE,NYJ,2.3788099999999996,1.19,1.19,3.1072735560000004,0.521,1.838002929
Chris Manhertz,2500,CAR,TE,NYG,2.29885,1.15,1.15,0.993476087,0.0,0.588944893
Eric Tomlinson,2500,NYJ,TE,DEN,0.6759999999999999,0.41600000000000004,0.52,4.053622936,0.52,2.4177450019999998
