Adam Thielen,7700,MIN,WR,PHI,31.57784,11.35056,18.19,22.90616028,17.07463309,19.54643503
Stefon Diggs,7000,MIN,WR,PHI,30.68163,12.26951,15.71,19.64489086,14.75594663,17.26347167
Laquon Treadwell,3300,MIN,WR,PHI,14.25287,7.13,7.13,5.958541033,3.392,5.014485344
Keenan Allen,7800,LAC,WR,OAK,31.3966,12.0825,17.9,21.59163414,16.53028011,18.99363771
Geremy Davis,3000,LAC,WR,OAK,2.51874,1.26,1.26,1.398695652,0,0.689475865
Mike Williams,4200,LAC,WR,OAK,24.24787,12.13,12.13,15.35013219,7.309955182,12.2146716
Tyrell Williams,3600,LAC,WR,OAK,18.41079,8.73108,9.21,10.00744186,6.732162465,8.714339262
Aldrick Robinson,3300,MIN,WR,PHI,6.85657,3.43,3.43,6.42246,2.13,4.046203803
Kamar Aiken,3000,PHI,WR,MIN,6.33683,3.17,3.17,3.692309887,0.49,1.795042546
Chad Williams,3000,ARI,WR,SFO,12.63368,6.32,6.32,6.664220183,2.600282301,5.480967898
Christian Kirk,3700,ARI,WR,SFO,18.95052,9.48,9.48,10.15079717,6.591840336,8.795020002
Larry Fitzgerald,4700,ARI,WR,SFO,26.9514,11.20185,13.95,13.02608403,8.447081596,11.58829929
Jordan Matthews,3500,PHI,WR,MIN,10.67466,5.34,5.34,7.967725,3.51852381,5.683335609
Alshon Jeffery,6200,PHI,WR,MIN,22.92675,9.6096,11.55,15.84539692,11.59,13.59624865
Nelson Agholor,5300,PHI,WR,MIN,22.12893,9.03312,11.07,11.56262614,8.709155534,10.63857693
Seth Roberts,3200,OAK,WR,LAC,8.53573,4.27,4.27,6.421511628,2.533044818,4.279706934
Martavis Bryant,3400,OAK,WR,LAC,18.29085,7.78665,9.15,7.958553191,5.664465246,7.186796522
Corey Davis,6400,TEN,WR,BUF,29.00549,11.49192,14.51,16.47584959,12.99495798,14.98697962
Tajae Sharpe,3100,TEN,WR,BUF,11.93403,5.97,5.97,6.073738372,3.109589956,4.943921232
Nick Williams,3000,TEN,WR,BUF,6.1969,3.1,3.1,3.263525532,0,1.235313993
Taywan Taylor,4000,TEN,WR,BUF,17.03148,8.52,8.52,10.11625155,6.75,8.549789386
Antonio Brown,9100,PIT,WR,ATL,40.00865,17.25823,20.57,23.05844793,18.6684459,21.70936885
Juju Smith-Schuster,7500,PIT,WR,ATL,36.22188,18.12,18.12,21.40927625,15.99,18.56847314
James Washington,3500,PIT,WR,ATL,11.53423,5.77,5.77,6.4950775,4.196,5.548437539
Darius Jennings,3000,TEN,WR,BUF,4.93753,2.47,2.47,1.346787234,0,0.654264228
Ray-Ray McCloud,0,BUF,WR,TEN,3.85807,1.93,1.93,1.614251064,0.21,0.946433777
Amari Cooper,5500,OAK,WR,LAC,24.40779,10.15872,12.21,16.97064068,9.99,14.03308536
Jordy Nelson,4500,OAK,WR,LAC,20.60969,8.78412,10.31,12.73243082,9.45169653,11.08434591
Robert Foster,3000,BUF,WR,TEN,8.13593,4.07,4.07,3.192966361,2.39,2.829581429
Andre Holmes,3300,BUF,WR,TEN,9.85507,4.93,4.93,4.623560567,0.602,3.131173361
Kelvin Benjamin,3500,BUF,WR,TEN,17.49125,8.09375,8.75,8.500498923,4.74,7.36506908
Zay Jones,3600,BUF,WR,TEN,13.17341,6.59,6.59,6.891867036,5.02,5.97501363
J.J. Nelson,3000,ARI,WR,SFO,5.69715,2.85,2.85,3.624373106,0.629657664,2.486769329
Pierre Garcon,4300,SFO,WR,ARI,18.65067,7.9305,9.33,10.42902205,6.85,8.964171674
Vyncint Smith,3000,HOU,WR,DAL,4.43778,2.22,2.22,1.361871429,0,0.61967288
Paul Richardson,4400,WAS,WR,NOS,17.09145,7.46415,8.55,9.455523256,5.510795518,8.226692207
Josh Doctson,3800,WAS,WR,NOS,19.83008,8.41216,9.92,7.864335777,4.423840336,6.172261592
Sammie Coates,3000,HOU,WR,DAL,3.97801,1.99,1.99,2.66344157,0.47,1.505121404
Keke Coutee,4200,HOU,WR,DAL,12.53373,6.27,6.27,9.936119973,6.92,8.676214757
DeAndre Hopkins,8200,HOU,WR,DAL,33.90912,11.83896,18.27,22.64819943,13.375,19.67018552
Will Fuller,6500,HOU,WR,DAL,28.65048,11.77056,14.64,14.34014983,8.984156379,12.63138239
Jamison Crowder,4300,WAS,WR,NOS,18.4395,8.0465,9.5,14.31198082,10.34563866,12.59093979
Maurice Harris,3000,WAS,WR,NOS,2.23888,1.12,1.12,1.510025688,0.24,0.827901511
