"Los Angeles Rams",4800,LAR,D,ARI,13.3988,5.814,7.6
"Detroit Lions",4100,DET,D,SFO,14.0817,6.4167,7.3
"San Francisco 49ers",3700,SFO,D,DET,13.67316,5.90292,6.84
"Arizona Cardinals",3800,ARI,D,LAR,13.3933,6.7,6.7
"Los Angeles Chargers",4400,LAC,D,BUF,11.4,7.6,9.5
"Atlanta Falcons",3400,ATL,D,CAR,13.46165,5.7531,7.55
"Buffalo Bills",3500,BUF,D,LAC,12.97351,7.66469,6.49
"Oakland Raiders",3600,OAK,D,DEN,13.49325,6.75,6.75
"Denver Broncos",4500,DEN,D,OAK,12.88296,4.68408,6.96
"Seattle Seahawks",4100,SEA,D,CHI,14.21289,6.05772,7.11
"Chicago Bears",4200,CHI,D,SEA,13.19796,5.5632,7.32
"Dallas Cowboys",3500,DAL,D,NYG,13.08405,5.58546,7.33
"New York Giants",3900,NYG,D,DAL,13.03348,5.56156,6.52
"New England Patriots",4200,NEP,D,JAC,13.63464,6.0552,6.96
"Jacksonville Jaguars",4300,JAC,D,NEP,12.2535,5.4243,6.3
"Carolina Panthers",4100,CAR,D,ATL,12.24034,5.47859,6.29
"New York Jets",3700,NYJ,D,MIA,13.46392,6.22288,7.12
"Tennessee Titans",4000,TEN,D,HOU,12.11454,5.14818,6.66
"Indianapolis Colts",3800,IND,D,WAS,12.83358,5.5854,6.42
"Houston Texans",4500,HOU,D,TEN,14.13293,6.12262,7.07
"Tampa Bay Buccaneers",3300,TBB,D,PHI,13.76868,5.4416,7.16
"Cincinnati Bengals",4400,CIN,D,BAL,13.01349,5.63115,6.51
"Philadelphia Eagles",4400,PHI,D,TBB,16.33734,6.4911,8.43
"Washington Redskins",3700,WAS,D,IND,12.59769,6.33111,7.17
"Minnesota Vikings",4400,MIN,D,GBP,14.33728,6.46208,7.36
"Pittsburgh Steelers",3900,PIT,D,KCC,14.35644,6.66036,7.56
"Miami Dolphins",3700,MIA,D,NYJ,14.0985,6.34794,7.23
"Kansas City Chiefs",3700,KCC,D,PIT,12.93353,6.47,6.47
"New Orleans Saints",4000,NOS,D,CLE,14.8598,6.6468,7.64
"Green Bay Packers",3900,GBP,D,MIN,13.51969,5.86959,6.77
"Cleveland Browns",3000,CLE,D,NOS,11.994,6.96,6
"Baltimore Ravens",4800,BAL,D,CIN,14.1427,6.2062,7.15
