Baltimore Ravens,4200,BAL,D,CLE,14.14112,6.37672,8.26,12.19888236,7.7,11.26812652
San Francisco 49ers,3800,SFO,D,ARI,13.60425,4.71075,8.25,11.63406354,7.859725926,10.738371800000001
Tennessee Titans,3900,TEN,D,BUF,14.912,5.367999999999999,8.0,12.47841959,7.445,12.0250082
Arizona Cardinals,4300,ARI,D,SFO,13.592120000000001,6.557339999999999,7.46,10.9093838,4.054156379,6.420127814
Carolina Panthers,4400,CAR,D,NYG,12.71022,5.51216,7.33,12.51946789,10.02,11.71282921
New York Jets,4200,NYJ,D,DEN,13.5576,6.228,7.2,9.533584506,5.885,7.096212912
Cincinnati Bengals,3900,CIN,D,MIA,14.2362,7.19,7.19,11.10594909,6.34490022,6.8394867470000005
Denver Broncos,4100,DEN,D,NYJ,12.2607,4.545780000000001,7.17,10.6649067,6.14,10.91799716
Philadelphia Eagles,4200,PHI,D,MIN,14.07296,6.16704,7.04,10.86140332,6.17,10.62458958
Minnesota Vikings,4200,MIN,D,PHI,13.16,5.985,7.0,6.97382375,5.8,6.307588599
Buffalo Bills,3500,BUF,D,TEN,13.14245,5.3098,6.95,8.131305436,5.795,6.360340329
Los Angeles Rams,4700,LAR,D,SEA,11.80688,4.95564,6.77,13.87670967,6.835,12.21731422
Kansas City Chiefs,4000,KCC,D,JAC,12.05824,5.63736,6.64,7.713684378,5.355,6.741259482
Jacksonville Jaguars,4500,JAC,D,KCC,13.213389999999999,6.61,6.61,6.64826259,4.154156379,6.026364628
Cleveland Browns,3300,CLE,D,BAL,12.90996,5.6588,6.58,7.620024715,5.4,6.272847797000001
Detroit Lions,3300,DET,D,GBP,12.70722,5.56554,6.54,7.913729419,5.75,6.619973924
Green Bay Packers,4000,GBP,D,DET,13.03348,6.52,6.52,7.627389697000001,5.3,6.508502252
Seattle Seahawks,3600,SEA,D,LAR,12.73363,6.37,6.37,6.347130471,4.916460905,5.77936526
Los Angeles Chargers,4400,LAC,D,OAK,11.7221,5.5118,6.35,8.514232642,5.675005995,6.696585712
Miami Dolphins,3400,MIA,D,CIN,12.42812,6.28,6.28,6.952533394,5.6,6.290406807999999
Atlanta Falcons,3100,ATL,D,PIT,12.53373,7.30455,6.27,6.396740286,3.6609259260000004,5.338050082
Pittsburgh Steelers,3400,PIT,D,ATL,12.13393,5.25055,6.07,7.886123563,5.907101881,6.625282599
New York Giants,3500,NYG,D,CAR,11.75412,7.132439999999999,5.88,6.380666775,3.336460905,5.51283713
Oakland Raiders,3600,OAK,D,LAC,11.29435,6.69525,5.65,6.197596937999999,0.7541563790000001,5.35240251
