Austin Seferian-Jenkins,4600,JAC,TE,TEN,14.71264,6.15296,7.36,7.458445,5.64,6.663742893
James OShaughnessy,4000,JAC,TE,TEN,6.33683,3.17,3.17,2.23605,0.3,1.181624573
Jonnu Smith,4200,TEN,TE,JAC,7.77611,3.89,3.89,6.30592,3.564042017,4.72877194
Sean Culkin,4000,LAC,TE,LAR,2.77861,1.39,1.39,0.407163526,0,0.242241021
Virgil Green,4300,LAC,TE,LAR,8.3958,4.2,4.2,3.795743895,2.73,3.255002438
Gerald Everett,4500,LAR,TE,LAC,5.27736,2.64,2.64,3.288305294,0.48,2.137876244
Tyler Higbee,4200,LAR,TE,LAC,7.03648,3.52,3.52,4.637480882,2.995840336,3.828942238
Antonio Gates,4800,LAC,TE,LAR,9.37531,4.69,4.69,5.003788991,3.38,4.191590444
Luke Stocker,4000,TEN,TE,JAC,7.21639,3.61,3.61,2.921434593,1.51,2.379926865
Jordan Akins,4000,HOU,TE,NYG,6.1969,3.1,3.1,3.2551075,1.666,2.591962984
A.J. Derby,4400,MIA,TE,OAK,7.996,4,4,3.541763406,0.94,2.560380846
Derek Carrier,4100,OAK,TE,MIA,4.37781,2.19,2.19,2.378796512,0.6,1.645015602
Jared Cook,5600,OAK,TE,MIA,18.7906,9.0428,9.4,8.697742179,6.184976651,7.547685001
Mike Gesicki,4400,MIA,TE,OAK,7.25637,3.63,3.63,5.008015,2.34,3.637794734
Evan Engram,5800,NYG,TE,HOU,16.69165,7.0975,8.35,9.510752795,7.95,8.804689794
Ryan Griffin,4500,HOU,TE,NYG,9.29535,4.65,4.65,4.544980493,1.955361345,3.499083919
Rhett Ellison,4100,NYG,TE,HOU,6.87656,3.44,3.44,2.987851744,2.01,2.668193564
Dion Sims,4300,CHI,TE,ARI,5.71714,2.86,2.86,2.284984911,0.42,1.732163335
Trey Burton,5700,CHI,TE,ARI,13.09345,6.55,6.55,8.157901163,4.62,7.019114159
Luke Willson,4500,DET,TE,NEP,5.7971,2.9,2.9,3.191657492,2.232521008,2.772419107
Levine Toilolo,4300,DET,TE,NEP,3.93803,1.97,1.97,1.792113043,0.18,1.154933203
Michael Roberts,4200,DET,TE,NEP,3.57821,1.79,1.79,2.977215116,0.777,1.92027255
Jesse James,4600,PIT,TE,TBB,12.1939,6.1,6.1,6.500232523,4.09,5.605616781
Vance McDonald,4800,PIT,TE,TBB,10.93453,5.47,5.47,6.2021225,2.466,4.778724037
Cameron Brate,4700,TBB,TE,PIT,8.09595,4.05,4.05,6.568264535,2.951840336,4.806040726
O.J. Howard,5400,TBB,TE,PIT,10.33483,5.17,5.17,8.432171254,6.818207472,7.617072337
