MyCole Pruitt,4000,TEN,TE,PHI,2.5987,1.3,1.3,0.633911491,0,0.292088172
Zach Ertz,7000,PHI,TE,TEN,21.77712,8.236,11.36,13.37574091,10.54,12.24782267
Khari Lee,4000,BUF,TE,GBP,1.95902,0.98,0.98,1.100535168,0,0.547189021
Jason Croom,4000,BUF,TE,GBP,7.47626,3.74,3.74,4.312093023,2.194,3.209418571
Joshua Perkins,4000,PHI,TE,TEN,5.15742,2.58,2.58,2.066333739,0,1.098230814
Dallas Goedert,4600,PHI,TE,TEN,11.31434,5.66,5.66,5.75822,2.324,4.699181769
Jonnu Smith,4200,TEN,TE,PHI,8.83558,4.42,4.42,6.1056,2.273201681,4.289259206
Luke Stocker,4000,TEN,TE,PHI,7.85607,3.93,3.93,3.864534884,1.45,2.747376402
Charles Clay,4600,BUF,TE,GBP,11.47426,5.22914,5.74,6.107842763,4.430840336,5.191039399
Lance Kendricks,4300,GBP,TE,BUF,4.7976,2.4,2.4,1.778795031,0.6,1.441706743
Cameron Brate,4500,TBB,TE,CHI,8.03598,4.02,4.02,5.93875,2.991161155,4.570810949
O.J. Howard,5600,TBB,TE,CHI,13.25337,6.63,6.63,9.592067644,6.177751835,8.290646581
Dion Sims,4300,CHI,TE,TBB,4.27786,2.14,2.14,2.487393478,0.33,1.762699659
Jack Doyle,5200,IND,TE,HOU,18.00022,6.85678,9.38,7.810877116,1.365061898,5.413200771
Eric Ebron,5500,IND,TE,HOU,15.52254,6.35824,8.11,11.79619551,6.563822548,8.743954246
Jordan Thomas,4000,HOU,TE,IND,6.93653,3.47,3.47,3.150787791,1.02,2.125113939
Ryan Griffin,4500,HOU,TE,IND,8.67566,4.34,4.34,4.525886951,2.718521008,3.742457128
Ryan Hewitt,4000,IND,TE,HOU,2.93853,1.47,1.47,0.6679155,0,0.415727866
Trey Burton,5600,CHI,TE,TBB,15.43228,6.92484,7.72,8.442116279,5.41,7.150639685
Tyler Kroft,4500,CIN,TE,ATL,6.31684,3.16,3.16,3.56134472,1.500481229,2.656342546
Austin Hooper,5000,ATL,TE,CIN,14.13293,6.23574,7.07,6.89985,3.501061718,5.697873125
Logan Paulsen,4100,ATL,TE,CIN,3.29835,1.65,1.65,1.72745,0.1,0.931949781
C.J. Uzomah,4700,CIN,TE,ATL,9.15542,4.58,4.58,2.326361702,0.31,1.642982935
Tyler Eifert,4600,CIN,TE,ATL,16.35182,8.18,8.18,7.322321619,4.915271899,6.545932501
Jordan Akins,4000,HOU,TE,IND,5.95702,2.98,2.98,2.93218,1.344,2.279417624
Austin Seferian-Jenkins,4600,JAC,TE,NYJ,14.1929,7.1,7.1,6.430808425,4.27,5.69718204
Rico Gathers,4500,DAL,TE,DET,3.87806,1.94,1.94,1.254937386,0.27,0.830585847
Geoff Swaim,4000,DAL,TE,DET,11.71414,5.86,5.86,5.363853211,1.973483466,4.000418445
A.J. Derby,4400,MIA,TE,NEP,7.25637,3.63,3.63,3.111111708,1.26,2.39825952
Blake Jarwin,4000,DAL,TE,DET,2.97851,1.49,1.49,1.981422178,0.3,1.144619208
Luke Willson,4500,DET,TE,DAL,5.37731,2.69,2.69,3.541502401,1.482803539,2.854958683
Jimmy Graham,6000,GBP,TE,BUF,18.07096,7.62976,9.04,10.72619066,7.16,9.595966161
Levine Toilolo,4300,DET,TE,DAL,2.07896,1.04,1.04,1.448904348,0.18,0.815201365
Mike Gesicki,4400,MIA,TE,NEP,7.73613,3.87,3.87,3.968633721,2.773,3.437014141
Dwayne Allen,4400,NEP,TE,MIA,1.81909,0.91,0.91,1.602670617,0.35,1.005584521
Chris Herndon,4000,NYJ,TE,JAC,8.53573,4.27,4.27,3.282995,1.309,2.36935749
Niles Paul,4200,JAC,TE,NYJ,3.11844,1.56,1.56,2.210304348,0.3,1.254477328
James OShaughnessy,4000,JAC,TE,NYJ,5.23738,2.62,2.62,2.382119565,0.28,1.403923452
Eric Tomlinson,4000,NYJ,TE,JAC,4.7976,2.4,2.4,3.11946789,1.39,2.411303267
Jordan Leggett,4400,NYJ,TE,JAC,1.937,1.341,1.49,1.706076708,0,0.772853879
Jacob Hollister,4000,NEP,TE,MIA,3.87806,1.94,1.94,2.5318675,0.31,1.479323745
Rob Gronkowski,8100,NEP,TE,MIA,29.28535,12.46715,14.65,16.3032243,9.7,14.07480455
